1080	1043	1078	1078	0.125	0.125
1080	1045	1083	1083	0.125	0.125
1083	1067	1080	1080	0.125	0.125
1083	1069	1085	1085	0.125	0.125
1085	1075	1083	1083	0.125	0.125
1085	1077	1232	1232	0.125	0.125
1088	1082	934	934	0.125	0.125
1088	1087	1242	1242	0.125	0.125
932	1078	927	929	0.166667	0.166667
932	1079	933	933	0.125	0.125
1082	1079	933	933	0.125	0.125
1082	1081	1087	1087	0.125	0.125
1087	1084	1082	1082	0.125	0.125
1087	1086	1236	1236	0.125	0.125
1093	1094	939	939	0.125	0.125
1093	1099	1247	1247	0.125	0.125
1094	1095	945	945	0.125	0.125
1094	1097	1099	1099	0.125	0.125
1099	1100	1094	1094	0.125	0.125
1249	1102	1248	1248	0.125	0.125
1099	1102	1248	1248	0.125	0.125
1249	1103	1254	1252	0.166667	0.166667
1096	1104	949	949	0.125	0.125
1096	1106	1098	1098	0.125	0.125
1098	1112	1096	1096	0.125	0.125
1098	1114	1101	1101	0.125	0.125
1101	1136	1098	1098	0.125	0.125
1101	1138	1103	1103	0.125	0.125
1103	1144	1101	1101	0.125	0.125
1252	1146	1249	1249	0.0833333	0.0833333
1103	1146	1249	1249	0.0833333	0.0833333
1252	1147	1253	1253	0.125	0.125
1253	1150	1252	1252	0.125	0.125
1253	1151	1256	1256	0.125	0.125
1256	1162	1253	1253	0.125	0.125
1256	1163	1257	1257	0.125	0.125
1257	1166	1256	1256	0.125	0.125
1257	1167	1262	1262	0.125	0.125
1232	1189	1085	1085	0.125	0.125
1232	1191	1234	1234	0.125	0.125
1234	1197	1232	1232	0.125	0.125
1234	1199	1237	1237	0.125	0.125
1262	1210	1257	1257	0.125	0.125
1262	1211	1263	1263	0.125	0.125
1263	1214	1262	1262	0.125	0.125
1263	1215	1266	1266	0.125	0.125
1237	1221	1234	1234	0.125	0.125
1237	1223	1239	1239	0.125	0.125
1266	1226	1263	1263	0.125	0.125
1266	1227	1267	1267	0.125	0.125
1239	1229	1237	1237	0.125	0.125
1267	1230	1266	1266	0.125	0.125
1239	1231	1272	1272	0.0833333	0.0833333
1267	1231	1272	1272	0.0833333	0.0833333
1242	1236	1088	1088	0.125	0.125
1242	1241	1276	1276	0.125	0.125
1236	1233	1087	1087	0.125	0.125
1236	1235	1241	1241	0.125	0.125
1241	1238	1236	1236	0.125	0.125
1272	1239	1267	1269	0.166667	0.166667
1241	1240	1273	1273	0.125	0.125
1272	1240	1273	1273	0.125	0.125
1247	1248	1093	1093	0.125	0.125
1282	1250	1281	1281	0.125	0.125
1247	1250	1281	1281	0.125	0.125
1282	1251	1283	1283	0.125	0.125
1283	1260	1282	1282	0.125	0.125
1283	1261	1284	1284	0.125	0.125
1249	1252	1103	1102	0.166667	0.166667
1260	1254	1251	1251	0.125	0.125
1249	1254	1251	1251	0.125	0.125
1260	1255	1261	1261	0.125	0.125
1261	1258	1260	1260	0.125	0.125
1261	1259	1270	1270	0.125	0.125
1284	1270	1283	1283	0.125	0.125
1284	1271	1285	1285	0.125	0.125
1270	1264	1261	1261	0.125	0.125
1270	1265	1271	1271	0.125	0.125
1272	1267	1240	1239	0.166667	0.166667
1271	1268	1270	1270	0.125	0.125
1272	1269	1274	1274	0.125	0.125
1271	1269	1274	1274	0.125	0.125
1276	1273	1242	1242	0.125	0.125
1285	1274	1284	1284	0.125	0.125
1276	1275	1286	1286	0.125	0.125
1285	1275	1286	1286	0.125	0.125
